,area_type,availability,location,society,total_sqft,bath,balcony,price,bedrooms
0,Super built-up  Area,20-May,1st Block Jayanagar,,2850.0,4.0,1.0,428.0,4.0
1,Super built-up  Area,18-Jun,1st Block Jayanagar,,1630.0,3.0,2.0,194.0,3.0
2,Super built-up  Area,17-Dec,1st Block Jayanagar,,1200.0,6.0,2.0,125.0,6.0
3,Super built-up  Area,Ready To Move,1st Block Jayanagar,,1875.0,2.0,3.0,235.0,3.0
4,Plot  Area,Ready To Move,1st Block Jayanagar,,930.0,4.0,2.0,85.0,7.0
5,Plot  Area,Ready To Move,1st Block Jayanagar,,700.0,4.0,2.0,104.0,8.0
6,Built-up  Area,15-Dec,1st Block Jayanagar,Bhsic C,1200.0,2.0,0.0,130.0,3.0
7,Super built-up  Area,18-Jun,1st Block Jayanagar,,1235.0,2.0,2.0,148.0,2.0
8,Super built-up  Area,20-May,1st Block Jayanagar,,2750.0,4.0,0.0,413.0,4.0
9,Super built-up  Area,20-May,1st Block Jayanagar,,2450.0,4.0,2.0,368.0,4.0
11,Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,1875.0,3.0,1.0,167.0,3.0
12,Built-up  Area,Ready To Move,1st Phase JP Nagar,,1500.0,5.0,2.0,85.0,5.0
13,Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2065.0,4.0,1.0,210.0,3.0
15,Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2059.0,3.0,2.0,225.0,3.0
16,Super built-up  Area,Ready To Move,1st Phase JP Nagar,NCaveun,1394.0,2.0,1.0,100.0,2.0
17,Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,1077.0,2.0,2.0,93.0,2.0
18,Plot  Area,Ready To Move,1st Phase JP Nagar,,1566.0,2.0,0.0,180.0,2.0
19,Built-up  Area,Ready To Move,1st Phase JP Nagar,Opamaan,840.0,2.0,2.0,50.0,1.0
20,Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,1590.0,3.0,3.0,131.0,3.0
21,Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2180.0,3.0,2.0,210.0,3.0
